Pull,Path,Diff_hunk,Comment
179,src/main/java/org/apache/commons/lang3/text/WordUtils.java,"@@ -172,6 +173,84 @@ public static String wrap(final String str, final int wrapLength) {
      * @return a line with newlines inserted, <code>null</code> if null input
      */
     public static String wrap(final String str, int wrapLength, String newLineStr, final boolean wrapLongWords) {
+        return wrap(str, wrapLength, newLineStr, wrapLongWords, "" "");
+    }
+
+    /**
+     * <p>Wraps a single line of text, identifying words by <code>' '</code>.</p>","[{'comment': 'Should be `identifying word by <code>wrapOn</code>`\n', 'commenter': 'britter'}]"
179,src/main/java/org/apache/commons/lang3/text/WordUtils.java,"@@ -172,6 +173,84 @@ public static String wrap(final String str, final int wrapLength) {
      * @return a line with newlines inserted, <code>null</code> if null input
      */
     public static String wrap(final String str, int wrapLength, String newLineStr, final boolean wrapLongWords) {
+        return wrap(str, wrapLength, newLineStr, wrapLongWords, "" "");
+    }
+
+    /**
+     * <p>Wraps a single line of text, identifying words by <code>' '</code>.</p>
+     *
+     * <p>Leading spaces on a new line are stripped.
+     * Trailing spaces are not stripped.</p>
+     *
+     * <table border=""1"" summary=""Wrap Results"">
+     *  <tr>
+     *   <th>input</th>
+     *   <th>wrapLenght</th>
+     *   <th>newLineString</th>
+     *   <th>wrapLongWords</th>","[{'comment': 'The table is a column for the `wrapOn` parameter\n', 'commenter': 'britter'}, {'comment': ""@britter Hi, I've made the requested changes. Can you take a look?\n"", 'commenter': 'marko-bekhta'}]"
192,src/main/java/org/apache/commons/lang3/time/DateUtils.java,"@@ -668,6 +668,19 @@ public static Calendar toCalendar(final Date date) {
     
     //-----------------------------------------------------------------------
     /**
+     * Converts a {@code Date} of a given {@code TimeZone} into a {@code Calendar}
+     * @param date the date to convert to a Calendar
+     * @param timeZone the time zone of the @{code date}
+     * @return","[{'comment': 'Missing JavaDoc\n', 'commenter': 'britter'}, {'comment': 'Fixed.  Please check.\n', 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,43 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDate() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+        try {
+            DateUtils.toCalendar(null, zone);
+            fail(""Expected NullPointerException to be thrown"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZone() {
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", zone, DateUtils.toCalendar(date1, zone).getTimeZone());
+        try {
+            DateUtils.toCalendar(date1, null);
+            fail(""Expected NullPointerException to be thrown"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+  //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateAndTimeZone() {
+        try {
+        	Calendar c = DateUtils.toCalendar(date2, defaultZone);
+        	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date2, c.getTime());
+        	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", defaultZone, c.getTimeZone());
+        	// expected
+        } catch(final NullPointerException npe) {
+        	fail(""Expected NullPointerException to be thrown"");","[{'comment': ""I don't understand this code. Why is a `NullPointerException` expected at this point?\n"", 'commenter': 'britter'}, {'comment': ""That's a typo.  Fixed.  Please check.\n"", 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,43 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDate() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+        try {
+            DateUtils.toCalendar(null, zone);
+            fail(""Expected NullPointerException to be thrown"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZone() {
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", zone, DateUtils.toCalendar(date1, zone).getTimeZone());
+        try {
+            DateUtils.toCalendar(date1, null);
+            fail(""Expected NullPointerException to be thrown"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+  //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateAndTimeZone() {
+        try {
+        	Calendar c = DateUtils.toCalendar(date2, defaultZone);
+        	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date2, c.getTime());
+        	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", defaultZone, c.getTimeZone());","[{'comment': 'This looks redundant to me, since `testToCalendarWithDate()` already tests that the date has been set and `testToCalendarWithTimeZone()` already tests, that the timeZone has been set.\n', 'commenter': 'britter'}, {'comment': 'Good point.  Fixed.  Please check.\n', 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,59 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNotNull() {","[{'comment': 'This test is redundant because we have `testToCalendarWithDateAndTimeZoneNotNull()`\n', 'commenter': 'britter'}, {'comment': 'Fixed.\n', 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,59 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNotNull() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNull() {
+        try {","[{'comment': ""you don't need a try-catch here. You can simply use `@Test(expected=NullPointerException.class)`\n"", 'commenter': 'britter'}, {'comment': ""This is JUnit 4 feature.  I've fixed that but note that we cannot use JUnit 3 anymore.\n"", 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,59 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNotNull() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNull() {
+        try {
+            DateUtils.toCalendar(null, zone);
+            fail(""Expected NullPointerException to be thrown when Date is null"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZoneNotNull() {
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", zone, DateUtils.toCalendar(date1, zone).getTimeZone());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZoneNull() {
+        try {","[{'comment': ""you don't need a try-catch here. You can simply use `@Test(expected=NullPointerException.class)`\n"", 'commenter': 'britter'}, {'comment': 'Fixed.\n', 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,59 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNotNull() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNull() {
+        try {
+            DateUtils.toCalendar(null, zone);
+            fail(""Expected NullPointerException to be thrown when Date is null"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZoneNotNull() {
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", zone, DateUtils.toCalendar(date1, zone).getTimeZone());","[{'comment': 'This test is redundant because we have `testToCalendarWithDateAndTimeZoneNotNull()`\n', 'commenter': 'britter'}, {'comment': 'Removed.\n', 'commenter': 'kaiyuanw'}]"
192,src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,"@@ -693,6 +693,59 @@ public void testToCalendar() {
             // expected
         }
     }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNotNull() {
+        assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date1, DateUtils.toCalendar(date1, zone).getTime());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateNull() {
+        try {
+            DateUtils.toCalendar(null, zone);
+            fail(""Expected NullPointerException to be thrown when Date is null"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZoneNotNull() {
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", zone, DateUtils.toCalendar(date1, zone).getTimeZone());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithTimeZoneNull() {
+        try {
+            DateUtils.toCalendar(date1, null);
+            fail(""Expected NullPointerException to be thrown when TimeZone is null"");
+        } catch(final NullPointerException npe) {
+            // expected
+        }
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateAndTimeZoneNotNull() {
+    	Calendar c = DateUtils.toCalendar(date2, defaultZone);
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the Date back"", date2, c.getTime());
+    	assertEquals(""Convert Date and TimeZone to a Calendar, but failed to get the TimeZone back"", defaultZone, c.getTimeZone());
+    }
+    
+    //-----------------------------------------------------------------------
+    @Test
+    public void testToCalendarWithDateAndTimeZoneNull() {
+    	try {
+    		DateUtils.toCalendar(null, null);","[{'comment': 'No tabs please.\n', 'commenter': 'britter'}, {'comment': 'Fixed.\n', 'commenter': 'kaiyuanw'}]"
